电视节目,#genre#
电视剧4,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000334
电视剧5,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000336
电视剧6,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000335
东方卫视4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000436
江苏卫视4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000438
浙江卫视4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000437
山东卫视4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000440
湖南卫视4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000439?
四川卫视4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000441?

,"pushURL":"","status":"","timeShift":"","timeShiftUrl":"","total":""}]HTTP/1.1 200 OK

